date,id,longitude,latitude,time,total_precipitation_sum,temperature_2m,potential_evaporation_sum,u_component_of_wind_10m,v_component_of_wind_10m,year,month,month_name,tempC,precip_mm,pet_mm,wind_speed,balance,SPEI_3
2016-07-01,201607,-3.0500139515596465,51.750236719085805,1467331200000,0.039570408125445766,288.4261344786613,-0.15705247968435287,2.5330682364843224,0.9441100384599419,2016,7,July,15.276134478661334,39.570408125445766,157.05247968435287,2.7032903017261445,-117.48207155890711,-1.0951768196790541
2016-08-01,201608,-3.0500139515596465,51.750236719085805,1470009600000,0.08189258106771291,288.81414950791225,-0.14554879069328308,1.852891069586559,0.8404008086009692,2016,8,August,15.66414950791227,81.89258106771291,145.54879069328308,2.034570921558348,-63.65620962557017,-1.0664361461500076
2016-09-01,201609,-3.0500139515596465,51.750236719085805,1472688000000,0.07605912236651946,287.76977074941,-0.09685637056827545,1.4778871085908678,1.473473181989458,2016,9,September,14.619770749410009,76.05912236651946,96.85637056827545,2.086929209096757,-20.79724820175599,-0.9941697960762529
2016-10-01,201610,-3.0500139515596465,51.750236719085805,1475280000000,0.047918080523206896,282.5657195429648,-0.06268060207366943,-0.8921926483031242,-0.45754040697569487,2016,10,October,9.415719542964837,47.918080523206896,62.680602073669434,1.0026719033171454,-14.762521550462537,-0.4373766549899953
2016-11-01,201611,-3.0500139515596465,51.750236719085805,1477958400000,0.0936102144884785,278.15632356007893,-0.03236287832260132,0.49735931290520563,-1.1369948612319098,2016,11,November,5.006323560078954,93.6102144884785,32.36287832260132,1.2410171637013359,61.247336165877186,0.24011088205238637
2016-12-01,201612,-3.0500139515596465,51.750236719085805,1480550400000,0.028210952526212196,278.54203679484704,-0.011792592704296112,0.8706164744592482,1.1754733939324655,2016,12,December,5.3920367948470584,28.210952526212196,11.792592704296112,1.4627750153194987,16.418359821916084,0.43288183639082733
2017-01-01,201701,-3.0500139515596465,51.750236719085805,1483228800000,0.07465510617885229,276.640993097777,-0.015558481216430664,0.8182888159187891,0.0870253809036747,2017,1,January,3.49099309777705,74.6551061788523,15.558481216430664,0.8229033984491761,59.09662496242163,0.7954757491125548
2017-02-01,201702,-3.0500139515596465,51.750236719085805,1485907200000,0.05704048006075624,278.11343102228074,-0.03903523087501526,1.0954360862572987,1.070748032558532,2017,2,February,4.9634310222807585,57.04048006075624,39.03523087501526,1.5318229559262633,18.00524918574098,0.5866248873193989
2017-03-01,201703,-3.0500139515596465,51.750236719085805,1488326400000,0.09281769544459806,280.4079882303874,-0.0792379379272461,1.4911502471534155,1.1232986565559142,2017,3,March,7.2579882303874115,92.81769544459806,79.2379379272461,1.866903567784371,13.579757517351965,0.572568992688134
2017-04-01,201704,-3.0500139515596465,51.750236719085805,1491004800000,0.02520766952933684,280.8181129243639,-0.11154738813638687,0.9991778651873271,-0.7415618843502468,2017,4,April,7.668112924363925,25.20766952933684,111.54738813638687,1.244295155741351,-86.33971860705003,-0.19308255366528773
2017-05-01,201705,-3.0500139515596465,51.750236719085805,1493596800000,0.07700487360021668,285.10290049481137,-0.14372413605451584,-0.4002774210386379,0.3553118795476934,2017,5,May,11.952900494811388,77.00487360021668,143.72413605451584,0.5352275642575386,-66.71926245429916,-0.658134166645611
2017-06-01,201706,-3.0500139515596465,51.750236719085805,1496275200000,0.07766290058386716,287.8897965961032,-0.15650969743728638,2.1114282104704114,1.0197763800621034,2017,6,June,14.739796596103247,77.66290058386716,156.50969743728638,2.3447969961817274,-78.84679685341922,-1.1508815274566442
2017-07-01,201707,-3.0500139515596465,51.750236719085805,1498867200000,0.10945841189682781,288.6230536635204,-0.16140153259038925,1.7294112110650668,0.6583371316232989,2017,7,July,15.473053663520432,109.45841189682781,161.40153259038925,1.8504785640021701,-51.94312069356144,-0.9707392271431821
2017-08-01,201708,-3.0500139515596465,51.750236719085805,1501545600000,0.07580833680250265,287.3787154946276,-0.12865854799747467,1.9156432010794198,0.9000558340421287,2017,8,August,14.228715494627636,75.80833680250265,128.65854799747467,2.11655129355163,-52.85021119497202,-0.8968941646804298
