point_id,year,season,value
0,2017,Spring,0.8202847242355347
0,2017,Summer,0.926878809928894
0,2017,Winter,0.579159677028656
0,2018,Spring,0.8335967659950256
0,2018,Summer,0.8646329641342163
0,2018,Autumn,0.9974358677864075
0,2018,Winter,0.616511344909668
0,2019,Spring,0.7439470887184143
0,2019,Summer,0.6582790613174438
0,2019,Autumn,0.8139228224754333
0,2019,Winter,0.6648044586181641
0,2020,Spring,0.7436244487762451
0,2020,Summer,0.8166140913963318
0,2020,Autumn,0.7489503026008606
0,2020,Winter,0.6661248803138733
0,2021,Spring,0.6222547292709351
0,2021,Summer,0.8246445655822754
0,2021,Autumn,0.7985029220581055
0,2021,Winter,0.4555243253707886
0,2022,Spring,0.6434530019760132
0,2022,Summer,0.8406228423118591
0,2022,Autumn,
0,2022,Winter,0.49592456221580505
0,2023,Spring,0.7070369124412537
0,2023,Summer,0.8461538553237915
0,2023,Autumn,0.8231022953987122
0,2023,Winter,
0,2024,Summer,0.8092539310455322
0,2024,Winter,0.7357081770896912
0,2025,Spring,0.7284484505653381
0,2025,Summer,0.8441106677055359
1,2017,Spring,0.8623312711715698
1,2017,Summer,0.9031277298927307
1,2017,Winter,0.6063408255577087
1,2018,Spring,0.8075812458992004
1,2018,Summer,0.8662309646606445
1,2018,Autumn,0.8205245137214661
1,2018,Winter,0.650065541267395
1,2019,Spring,0.6972408890724182
1,2019,Summer,0.6266700029373169
1,2019,Autumn,0.558377742767334
1,2019,Winter,
1,2020,Spring,0.4139110743999481
1,2020,Summer,0.40120846033096313
1,2020,Autumn,0.6095617413520813
1,2020,Winter,0.4096146821975708
1,2021,Spring,0.4302631616592407
1,2021,Summer,0.49477630853652954
1,2021,Autumn,0.6501286029815674
1,2021,Winter,0.5100240111351013
1,2022,Spring,0.46225616335868835
1,2022,Summer,0.6973258852958679
1,2022,Autumn,
1,2022,Winter,0.4482126533985138
1,2023,Spring,0.6998246312141418
1,2023,Summer,0.7745473384857178
1,2023,Autumn,0.9110169410705566
1,2023,Winter,
1,2024,Summer,0.8830682635307312
1,2024,Winter,0.7541078329086304
1,2025,Spring,0.7168698310852051
1,2025,Summer,0.7580195069313049
2,2017,Spring,0.8538669347763062
2,2017,Summer,0.8828938007354736
2,2017,Winter,0.48651161789894104
2,2018,Spring,0.7966653108596802
2,2018,Summer,0.8556088805198669
2,2018,Autumn,0.8196037411689758
2,2018,Winter,0.6083644032478333
2,2019,Spring,0.7542168498039246
2,2019,Summer,0.4108726382255554
2,2019,Autumn,0.3408796787261963
2,2019,Winter,0.29622265696525574
2,2020,Spring,0.4000000059604645
2,2020,Summer,0.5248285531997681
2,2020,Autumn,0.6414942145347595
2,2020,Winter,0.5154821872711182
2,2021,Spring,0.5516914129257202
2,2021,Summer,0.7525822520256042
2,2021,Autumn,0.708255410194397
2,2021,Winter,0.48355981707572937
2,2022,Spring,0.6104404330253601
2,2022,Summer,0.8179474472999573
2,2022,Autumn,
2,2022,Winter,0.2510250508785248
2,2023,Spring,0.5658465027809143
2,2023,Summer,0.7252311706542969
2,2023,Autumn,0.7984144687652588
